,Unnamed: 0,Country or region,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity,Year,geometry
263,259,Laos,102,4.876,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,2016,"POLYGON ((107.38272749230109 14.202440904186972, 106.49637332563088 14.570583807834282, 106.04394616091552 13.881091009979956, 105.21877689007889 14.273211778210694, 105.54433841351769 14.723933620660418, 105.58903852745016 15.570316066952858, 104.7793205098688 16.44186493577145, 104.7169470560925 17.42885895433008, 103.9564766784853 18.24095408779688, 103.20019209189374 18.309632066312773, 102.99870568238771 17.9616946476916, 102.41300499879162 17.932781683824288, 102.11359175009248 18.109101670804165, 101.05954756063517 17.51249725999449, 101.03593143107777 18.408928330961615, 101.2820146016517 19.462584947176765, 100.60629357300316 19.508344427971224, 100.54888105672688 20.109237982661128, 100.11598758341785 20.417849636308187, 100.32910119018953 20.786121731036232, 101.18000532430754 21.436572984294028, 101.27002566935997 21.201651923095184, 101.80311974488293 21.17436676684507, 101.65201785686152 22.318198757409547, 102.17043582561358 22.464753119389304, 102.75489627483466 21.675137233969465, 103.20386111858645 20.76656220141375, 104.43500044150805 20.75873322192153, 104.8225736836971 19.886641750563882, 104.18338789267894 19.62466807706022, 103.89653201702671 19.265180975821806, 105.09459842328152 18.66697459561108, 105.92576216026403 17.48531545660896, 106.55600792849569 16.604283962464805, 107.3127059265456 15.90853831630318, 107.5645251811039 15.20217316330556, 107.38272749230109 14.202440904186972))"
264,260,Nigeria,103,4.875,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2016,"POLYGON ((2.691701694356254 6.258817246928629, 2.74906253420022 7.870734361192888, 2.723792758809509 8.50684540448971, 2.912308383810256 9.137607937044322, 3.220351596702101 9.444152533399702, 3.705438266625919 10.063210354040208, 3.600070021182802 10.332186184119408, 3.797112257511714 10.734745591673105, 3.572216424177469 11.32793935795152, 3.611180454125559 11.660167141155968, 3.680633579125811 12.552903347214226, 3.967282749048849 12.956108710171575, 4.107945997747322 13.531215725147831, 4.368343540066007 13.747481594289411, 5.443058302440136 13.865923977102227, 6.445426059605637 13.492768459522678, 6.820441928747754 13.115091254117518, 7.330746697630019 13.0980380314612, 7.804671258178786 13.343526923063747, 9.014933302454438 12.826659247280418, 9.524928012742947 12.851102199754479, 10.114814487354693 13.27725189864941, 10.701031935273706 13.246917832894084, 10.989593133191534 13.387322699431195, 11.527803175511394 13.328980007373588, 12.302071160540523 13.037189032437524, 13.083987257548813 13.596147162322495, 13.318701613018561 13.556356309457826, 13.995352817448293 12.461565253138303, 14.181336297266794 12.483656927943116, 14.577177768622533 12.085360826053503, 14.468192172918975 11.904751695193411, 14.415378859116684 11.572368882692075, 13.572949659894562 10.798565985553566, 13.308676385153918 10.160362046748928, 13.167599724997103 9.640626328973411, 12.955467970438974 9.417771714714704, 12.753671502339216 8.717762762888995, 12.218872104550599 8.305824082874324, 12.063946160539558 7.799808457872302, 11.839308709366803 7.397042344589437, 11.74577436691851 6.981382961449754, 11.058787876030351 6.644426784690594, 10.497375115611419 7.055357774275564, 10.118276808318257 7.03876963950988, 9.522705926154401 6.453482367372117, 9.233162876023044 6.444490668153335, 8.757532993208628 5.479665839047911, 8.500287713259695 4.771982937026849, 7.462108188515941 4.412108262546241, 7.082596469764439 4.464689032403228, 6.6980721370806 4.240594183769517, 5.898172641634687 4.262453314628985, 5.362804803090881 4.887970689305959, 5.033574252959369 5.611802476418234, 4.325607130560684 6.270651149923467, 3.574180128604553 6.258300482605719, 2.691701694356254 6.258817246928629))"
265,261,Honduras,104,4.871,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,2016,"POLYGON ((-83.14721900097413 14.99582916916411, -83.48998877636612 15.016267198135537, -83.62858496777292 14.880073960830302, -83.97572140169359 14.749435939996488, -84.22834164095241 14.74876414637663, -84.4493359036486 14.621614284722511, -84.64958207877964 14.666805324761867, -84.82003679069436 14.81958669683267, -84.9245006985724 14.79049286545235, -85.05278744173694 14.551541042534723, -85.14875057650296 14.560196844943617, -85.16536454948482 14.354369615125051, -85.51441301140028 14.079011745657908, -85.69866533073696 13.960078436738002, -85.80129472526859 13.83605499923759, -86.09626380079061 14.038187364147234, -86.31214209668993 13.77135610600817, -86.52070817741992 13.778487453664468, -86.75508663607971 13.754845485890913, -86.7338217841916 13.263092556201443, -86.88055701368438 13.254204209847217, -87.00576900912758 13.025794379117158, -87.31665442579549 12.984685777228975, -87.48940873894713 13.297534898323931, -87.79311113152657 13.384480495655055, -87.7235029772294 13.785050360565506, -87.85951534702161 13.893312486217098, -88.06534257684014 13.964625962779778, -88.50399797234971 13.845485948130857, -88.541230841816 13.980154730683479, -88.84307288283284 14.14050670008517, -89.05851192905766 14.340029405164087, -89.35332597528281 14.424132798719086, -89.14553504103719 14.678019110569153, -89.22522009963127 14.874286200413621, -89.15481096063357 15.06641917567481, -88.68067969435563 15.346247056535304, -88.22502275262202 15.727722479713904, -88.12115312371537 15.688655096901357, -87.90181250685242 15.864458319558196, -87.61568010125234 15.878798529519202, -87.52292090528846 15.797278957578783, -87.36776241733213 15.846940009011291, -86.90319129102818 15.75671295822957, -86.44094560417739 15.782835394753192, -86.11923397494434 15.893448798073962, -86.00195431185784 16.00540578863439, -85.68331743034628 15.953651841693954, -85.44400387240256 15.885749009662447, -85.18244361035721 15.909158433490632, -84.98372188997882 15.995923163308703, -84.52697974316715 15.857223619037427, -84.36825558138258 15.835157782448732, -84.06305457226682 15.648244126849136, -83.77397661002612 15.424071763566872, -83.41038123242038 15.270902818253774, -83.14721900097413 14.99582916916411))"
266,262,Iran,105,4.813,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538,2016,"POLYGON ((48.567971225789755 29.926778265903522, 48.0145683123761 30.452456773392598, 48.004698113808324 30.985137437457244, 47.68528608581227 30.984853217079632, 47.8492037290421 31.70917593029867, 47.33466149271191 32.46915538179911, 46.10936160663932 33.017287299119005, 45.41669070819904 33.967797756479584, 45.64845950702809 34.748137722303014, 46.15178795755094 35.09325877536429, 46.0763403664048 35.67738332777549, 45.42061811705321 35.977545884742824, 44.77267710159504 37.17043692561684, 44.77267 37.17045, 44.22575564960053 37.97158437758935, 44.421402622257546 38.28128123631454, 44.10922529478234 39.4281362981681, 44.79398969908195 39.71300263117705, 44.95268802265031 39.33576467544637, 45.45772179543877 38.87413910578306, 46.14362308124882 38.74120148371222, 46.50571984231797 38.770605373686294, 47.685079380083096 39.50836395930122, 48.06009524922524 39.58223541926246, 48.35552941263788 39.28876496027691, 48.01074425638648 38.79401479751452, 48.63437544128482 38.27037750910097, 48.88324913920249 38.32024526626262, 49.19961225769334 37.582874253889884, 50.14777143738462 37.37456655532134, 50.84235436381971 36.8728142359834, 52.264024692601424 36.7004216578577, 53.82578982932642 36.965030829408235, 53.92159793479556 37.19891836196126, 54.800303989486565 37.392420762678185, 55.51157840355191 37.96411713312317, 56.18037479027333 37.93512665460743, 56.61936608259282 38.121394354803485, 57.330433790928986 38.02922943781094, 58.436154412678206 37.5223094752438, 59.23476199731681 37.41298798273034, 60.37763797388388 36.52738312432837, 61.123070509694145 36.491597194966246, 61.210817091725744 35.650072333309225, 60.80319339380745 34.40410187431986, 60.52842980331158 33.676446031218006, 60.963700392506006 33.52883230237626, 60.536077915290775 32.98126882581157, 60.863654819588966 32.18291962333443, 60.94194461451113 31.548074652628753, 61.69931440618083 31.379506130492672, 61.781221551363444 30.735850328081238, 60.87424848820879 29.829238999952608, 61.36930870956494 29.303276272085924, 61.77186811711863 28.6993338078908, 62.72783043808599 28.25964488373539, 62.75542565292986 27.378923448184988, 63.2338977395203 27.21704702403071, 63.31663170761959 26.756532497661667, 61.87418745305655 26.239974880472104, 61.49736290878419 25.0782370061185, 59.616134067630846 25.380156561783778, 58.525761346272304 25.60996165618573, 57.39725141788239 25.73990204518364, 56.970765822177555 26.966106268821363, 56.492138706290206 27.143304755150197, 55.723710158110066 26.964633490501043, 54.71508955263727 26.480657863871514, 53.49309695823135 26.81236888275305, 52.48359785340961 27.580849107365495, 51.52076256694742 27.865689602158298, 50.85294803243954 28.814520575469388, 50.115008579311585 30.147772528599717, 49.576850213423995 29.985715236932407, 48.94133344909855 30.317090359004037, 48.567971225789755 29.926778265903522))"
267,263,Zambia,106,4.795,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866,2016,"POLYGON ((30.740009731422095 -8.34000593035372, 31.15775133695005 -8.594578747317366, 31.556348097466497 -8.762048841998642, 32.19186486179194 -8.930358981973257, 32.75937544122132 -9.23059905358906, 33.2313879737753 -9.6767216935648, 33.48568769708359 -10.525558770391115, 33.315310499817286 -10.796549981329697, 33.114289178201915 -11.607198174692314, 33.306422153463075 -12.435778090060218, 32.991764357237884 -12.783870537978274, 32.68816531752313 -13.712857761289277, 33.214024692525214 -13.971860039936153, 30.17948123548183 -14.796099134991529, 30.27425581230511 -15.507786960515213, 29.516834344203147 -15.644677829656388, 28.947463413211267 -16.04305144619444, 28.8258687680285 -16.389748630440614, 28.467906121542683 -16.468400160388846, 27.59824344250276 -17.290830580314008, 27.044427117630732 -17.938026218337434, 26.70677330903564 -17.961228936436484, 26.381935255648926 -17.8460421688579, 25.264225701608012 -17.736539808831417, 25.08444339366457 -17.661815687737374, 25.07695031098226 -17.57882333747662, 24.682349074001507 -17.353410739819473, 24.033861525170778 -17.295843194246324, 23.215048455506064 -17.523116143465984, 22.56247846852426 -16.898451429921813, 21.887842644953874 -16.08031015387688, 21.933886346125917 -12.898437188369359, 24.016136508894675 -12.911046237848574, 23.930922072045377 -12.565847670138856, 24.079905226342845 -12.191296888887365, 23.904153680118185 -11.722281589406322, 24.01789350759259 -11.23729827234709, 23.912215203555718 -10.926826267137514, 24.25715538910399 -10.951992689663657, 24.31451622894795 -11.26282642989927, 24.78316979340295 -11.238693536018964, 25.418118116973204 -11.330935967659961, 25.752309604604733 -11.784965101776358, 26.553087599399618 -11.924439792532127, 27.164419793412463 -11.608748467661075, 27.388798862423783 -12.132747491100666, 28.155108676879987 -12.272480564017897, 28.523561639121027 -12.698604424696683, 28.934285922976837 -13.248958428605135, 29.69961388521949 -13.257226657771831, 29.61600141777123 -12.178894545137311, 29.34154788586909 -12.360743910372413, 28.642417433392353 -11.971568698782315, 28.372253045370428 -11.793646742401393, 28.49606977714177 -10.789883721564046, 28.67368167492893 -9.605924981324932, 28.449871046672826 -9.164918308146085, 28.734866570762502 -8.526559340044578, 29.00291222506047 -8.407031752153472, 30.346086053190817 -8.238256524288218, 30.740009731422095 -8.34000593035372))"
268,264,Nepal,107,4.793,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816,2016,"POLYGON ((88.12044070836987 27.876541652939594, 88.04313276566123 27.445818589786825, 88.17480431514092 26.81040517832595, 88.06023766474982 26.41461538340249, 87.2274719583663 26.397898057556077, 86.02439293817918 26.63098460540857, 85.25177859898338 26.726198431906344, 84.6750179381738 27.234901231387536, 83.30424889519955 27.36450572357556, 81.99998742058497 27.925479234319994, 81.05720258985203 28.416095282499043, 80.08842451367627 28.79447011974014, 80.4767212259174 29.72986522065534, 81.11125613802932 30.183480943313402, 81.52580447787474 30.42271698660863, 82.32751264845088 30.115268052688137, 83.33711510613719 29.463731594352197, 83.89899295444673 29.320226141877658, 84.23457970575015 28.839893703724698, 85.01163821812304 28.642773952747344, 85.82331994013151 28.203575954698707, 86.9545170430006 27.974261786403517, 88.12044070836987 27.876541652939594))"
269,265,Palestinian Territories,108,4.754,0.67024,0.71629,0.56844,0.17744,0.10613,0.11154,2016,
270,266,Albania,109,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,2016,"POLYGON ((21.0200403174764 40.84272695572588, 20.999989861747224 40.58000397395398, 20.674996779063633 40.43499990494303, 20.615000441172754 40.11000682225938, 20.15001590341052 39.62499766698397, 19.980000441170148 39.69499339452341, 19.960001661873207 39.91500580500605, 19.406081984136733 40.250773423822466, 19.319058872157143 40.72723012955356, 19.40354983895429 41.40956574153546, 19.540027296637106 41.71998607031276, 19.37176883309496 41.877547512370654, 19.37176816334725 41.877550679783496, 19.304486118250793 42.19574514420782, 19.73805138517963 42.68824738216557, 19.801613396898688 42.50009349219084, 20.0707 42.58863, 20.283754510181893 42.32025950781508, 20.52295 42.21787, 20.590246546680227 41.855408919283626, 20.59024743010491 41.855404161133606, 20.463175083099202 41.51508901627534, 20.605181919037364 41.086226304685226, 21.0200403174764 40.84272695572588))"
271,267,Bangladesh,110,4.643,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2016,"POLYGON ((92.67272098182556 22.041238918541254, 92.65225711463799 21.324047552978485, 92.30323449093868 21.47548533780982, 92.36855350135562 20.670883287025347, 92.08288618364614 21.19219513598577, 92.02521528520839 21.701569729086767, 91.83489098507744 22.182935695885565, 91.41708702999766 22.76501902922122, 90.49600630082728 22.80501658781513, 90.58695682166098 22.392793687422866, 90.27297081905556 21.83636770272011, 89.84746707556428 22.039146023033425, 89.70204959509493 21.857115790285306, 89.41886274613549 21.9661789006373, 89.03196129756623 22.055708319582976, 88.87631188350309 22.87914642993783, 88.52976972855379 23.631141872649167, 88.69994022009092 24.23371491138856, 88.08442223506242 24.501657212821925, 88.30637251175602 24.866079413344206, 88.93155398962308 25.238692328384776, 88.2097892598025 25.768065700782714, 88.56304935094977 26.446525580342723, 89.35509402868729 26.014407253518073, 89.83248091019962 25.96508209889548, 89.92069258012185 25.26974986419218, 90.87221072791212 25.132600612889547, 91.79959598182208 25.147431748957317, 92.37620161333481 24.976692816664965, 91.91509280799443 24.130413723237112, 91.46772993364368 24.072639471934792, 91.15896325069973 23.50352692310439, 91.70647505083211 22.985263983649187, 91.86992760617132 23.624346421802784, 92.14603478390681 23.627498684172593, 92.67272098182556 22.041238918541254))"
272,268,Sierra Leone,111,4.635,0.36485,0.628,0.0,0.30685,0.08196,0.23897,2016,"POLYGON ((-13.246550258832515 8.903048610871508, -12.71195756677308 9.342711696810767, -12.59671912276221 9.62018830000197, -12.425928514037565 9.835834051955956, -12.150338100625005 9.858571682164381, -11.917277390988659 10.046983954300558, -11.11748124840733 10.045872911006285, -10.839151984083301 9.688246161330369, -10.622395188835041 9.267910061068278, -10.654770473665891 8.977178452994195, -10.494315151399633 8.715540676300435, -10.505477260774668 8.348896389189605, -10.23009355309128 8.406205552601293, -10.69559485517648 7.939464016141088, -11.146704270868383 7.396706447779536, -11.19980180504828 7.105845648624737, -11.438779466182055 6.785916856305747, -11.70819454593574 6.860098374860726, -12.428098924193819 7.26294200279203, -12.949049038128194 7.798645738145738, -13.124025437868482 8.163946438016978, -13.246550258832515 8.903048610871508))"
273,269,Iraq,112,4.575,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,2016,"POLYGON ((39.19546837744497 32.16100881604267, 38.792340529136084 33.378686428352225, 41.006158888519934 34.41937226006212, 41.383965285005814 35.628316555314356, 41.289707472505455 36.35881460219227, 41.83706424334096 36.605853786763575, 42.34959109881177 37.2298725449041, 42.77912560402183 37.385263576805755, 43.9422587420473 37.25622752537295, 44.29345177590287 37.0015143906063, 44.77267710159504 37.17043692561684, 45.42061811705321 35.977545884742824, 46.0763403664048 35.67738332777549, 46.15178795755094 35.09325877536429, 45.64845950702809 34.748137722303014, 45.41669070819904 33.967797756479584, 46.10936160663932 33.017287299119005, 47.33466149271191 32.46915538179911, 47.8492037290421 31.70917593029867, 47.68528608581227 30.984853217079632, 48.004698113808324 30.985137437457244, 48.0145683123761 30.452456773392598, 48.567971225789755 29.926778265903522, 47.974519077349896 29.975819200148504, 47.30262210469096 30.059069932570722, 46.568713413281756 29.09902517345229, 44.70949873228474 29.178891099559383, 41.889980910007836 31.19000865327837, 40.399994337736246 31.889991766887935, 39.19546837744497 32.16100881604267))"
274,270,Namibia,113,4.574,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,2016,"POLYGON ((19.895767856534434 -24.76779021576059, 19.894734327888614 -28.461104831660776, 19.002127312911085 -28.972443129188868, 18.464899122804752 -29.04546192801728, 17.83615197110953 -28.85637786226132, 17.387497185951503 -28.78351409272978, 17.218928663815404 -28.35594329194681, 16.824017368240902 -28.08216155366447, 16.344976840895242 -28.5767050106977, 15.601818068105816 -27.821247247022804, 15.21047244635946 -27.090955905874047, 14.989710727608553 -26.117371921495156, 14.743214145576331 -25.39292001719538, 14.408144158595833 -23.853014011329847, 14.385716586981149 -22.65665292734069, 14.257714064194175 -22.111208184499958, 13.86864220546866 -21.699036960539978, 13.35249799973744 -20.872834161057504, 12.826845330464494 -19.673165785401665, 12.608564080463621 -19.0453488094877, 11.794918654028066 -18.069129327061916, 11.734198846085121 -17.301889336824473, 12.215461460019355 -17.111668389558083, 12.814081251688407 -16.94134286872407, 13.462362094789967 -16.971211846588773, 14.05850141770901 -17.423380629142663, 14.209706658595024 -17.35310068122572, 18.263309360434164 -17.309950860262006, 18.956186964603603 -17.789094740472258, 21.377176141045567 -17.930636488519696, 23.215048455506064 -17.523116143465984, 24.033861525170778 -17.295843194246324, 24.682349074001507 -17.353410739819473, 25.07695031098226 -17.57882333747662, 25.08444339366457 -17.661815687737374, 24.520705193792537 -17.887124932529936, 24.217364536239213 -17.88934701911849, 23.579005568137717 -18.28126108162006, 23.1968583513393 -17.869038181227786, 21.655040317478978 -18.219146010005225, 20.910641310314535 -18.252218926672022, 20.88113406747587 -21.814327080983148, 19.89545779794068 -21.84915699634787, 19.895767856534434 -24.76779021576059))"
275,271,Cameroon,114,4.513,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,2016,"POLYGON ((14.495787387762846 12.85939626713733, 14.89336 12.21905, 14.9601518083376 11.555574042197224, 14.92356489427496 10.891325181517473, 15.467872755605242 9.982336737503545, 14.909353875394716 9.992129421422732, 14.62720055508106 9.920919297724538, 14.171466098699028 10.021378282099931, 13.954218377344006 9.549494940626687, 14.54446658698177 8.965861314322268, 14.97999555833769 8.796104234243472, 15.120865512765306 8.382150173369439, 15.436091749745742 7.692812404811889, 15.279460483469109 7.421924546737969, 14.776545444404576 6.408498033062045, 14.536560092841114 6.22695872642069, 14.459407179429348 5.4517605656103, 14.558935988023507 5.03059764243153, 14.47837243008047 4.732605495620447, 14.950953403389661 4.210389309094921, 15.036219516671252 3.851367295747124, 15.405395948964383 3.33530060466434, 15.862732374747482 3.013537298998983, 15.907380812247652 2.557389431158612, 16.012852410555354 2.267639675298085, 15.940918816805066 1.727672634280296, 15.146341993885244 1.964014797367184, 14.33781253424658 2.227874660649491, 13.075822381246752 2.267097072759015, 12.951333855855609 2.32161570882694, 12.359380323952221 2.19281220133945, 11.75166548019979 2.326757513839993, 11.276449008843713 2.261050930180872, 9.649158155972628 2.283866075037736, 9.795195753629457 3.073404445809117, 9.404366896206 3.734526882335203, 8.948115675501072 3.904128933117136, 8.744923943729418 4.35221527751996, 8.48881554529089 4.495617377129918, 8.500287713259695 4.771982937026849, 8.757532993208628 5.479665839047911, 9.233162876023044 6.444490668153335, 9.522705926154401 6.453482367372117, 10.118276808318257 7.03876963950988, 10.497375115611419 7.055357774275564, 11.058787876030351 6.644426784690594, 11.74577436691851 6.981382961449754, 11.839308709366803 7.397042344589437, 12.063946160539558 7.799808457872302, 12.218872104550599 8.305824082874324, 12.753671502339216 8.717762762888995, 12.955467970438974 9.417771714714704, 13.167599724997103 9.640626328973411, 13.308676385153918 10.160362046748928, 13.572949659894562 10.798565985553566, 14.415378859116684 11.572368882692075, 14.468192172918975 11.904751695193411, 14.577177768622533 12.085360826053503, 14.181336297266794 12.483656927943116, 14.213530714584635 12.802035427293347, 14.495787387762846 12.85939626713733))"
276,272,Ethiopia,115,4.508,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,2016,"POLYGON ((47.78942 8.003, 44.9636 5.00162, 43.66087 4.95755, 42.76967 4.25259, 42.12861 4.23413, 41.85508309264397 3.918911920483727, 41.1718 3.91909, 40.76848 4.25702, 39.85494 3.83879, 39.55938425876585 3.42206, 38.89251 3.50074, 38.67114 3.61607, 38.43697 3.58851, 38.120915 3.598605, 36.85509323800812 4.447864127672769, 36.159078632855646 4.447864127672769, 35.817447662353516 4.77696566346189, 35.817447662353516 5.338232082790797, 35.29800711823298 5.506, 34.70702 6.594220000000121, 34.25032 6.82607, 34.0751 7.22595, 33.568290000000104 7.71334, 32.95418 7.784970000000101, 33.29480000000012 8.35458, 33.82550000000015 8.37916, 33.97498 8.68456, 33.96162 9.58358, 34.25745 10.63009, 34.73115000000013 10.910170000000107, 34.83163000000013 11.318960000000118, 35.26049 12.08286, 35.86363 12.57828, 36.27022 13.563330000000121, 36.42951 14.42211, 37.59377 14.2131, 37.90607000000011 14.959430000000168, 38.51295 14.50547, 39.0994 14.74064, 39.34061 14.53155, 40.02625000000012 14.51959, 40.8966 14.118640000000141, 41.1552 13.77333, 41.59856 13.452090000000112, 42.00975 12.86582, 42.35156000000012 12.542230000000131, 42.000000000000114 12.100000000000136, 41.66176000000013 11.6312, 41.73959000000019 11.355110000000138, 41.755570000000205 11.050910000000101, 42.31414000000012 11.0342, 42.55493000000013 11.105110000000195, 42.77685184100096 10.92687856693442, 42.55876 10.57258000000013, 42.92812 10.021940000000143, 43.29699000000011 9.540480000000173, 43.67875 9.18358000000012, 46.94834 7.99688, 47.78942 8.003))"
277,273,South Africa,116,4.459,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,2016,"POLYGON ((16.344976840895242 -28.5767050106977, 16.824017368240902 -28.08216155366447, 17.218928663815404 -28.35594329194681, 17.387497185951503 -28.78351409272978, 17.83615197110953 -28.85637786226132, 18.464899122804752 -29.04546192801728, 19.002127312911085 -28.972443129188868, 19.894734327888614 -28.461104831660776, 19.895767856534434 -24.76779021576059, 20.16572553882719 -24.91796192800077, 20.75860924651184 -25.86813648855145, 20.66647016773544 -26.477453301704923, 20.88960900237174 -26.828542982695915, 21.605896030369394 -26.726533705351756, 22.105968865657868 -26.280256036079138, 22.57953169118059 -25.979447523708146, 22.8242712745149 -25.50045867279477, 23.312096795350186 -25.26868987396572, 23.73356977712271 -25.390129489851617, 24.211266717228796 -25.670215752873574, 25.025170525825786 -25.7196700985769, 25.66466637543772 -25.486816094669713, 25.76584882986521 -25.17484547292368, 25.94165205252216 -24.69637338633322, 26.4857532081233 -24.616326592713104, 26.786406691197413 -24.240690606383485, 27.119409620886245 -23.574323011979775, 28.01723595552525 -22.82775359465908, 29.43218834810904 -22.091312758067588, 29.839036899542972 -22.102216485281176, 30.322883335091774 -22.271611830333935, 30.65986535006709 -22.151567478119915, 31.19140913262129 -22.2515096981724, 31.670397983534656 -23.658969008073864, 31.930588820124253 -24.36941659922254, 31.75240848158188 -25.484283949487413, 31.83777794772806 -25.84333180105135, 31.333157586397903 -25.66019052500895, 31.04407962415715 -25.731452325139443, 30.949666782359913 -26.02264902110415, 30.67660851412964 -26.398078301704608, 30.68596194837448 -26.743845310169533, 31.28277306491333 -27.285879408478998, 31.86806033705108 -27.177927341421277, 32.07166548028107 -26.73382008230491, 32.830120477028885 -26.742191664336197, 32.580264926897684 -27.470157566031816, 32.46213260267845 -28.301011244420557, 32.20338870619304 -28.75240488049007, 31.521001417778876 -29.257386976846256, 31.325561150851 -29.401977634398914, 30.901762729625347 -29.909956963828037, 30.62281334811382 -30.42377573010613, 30.05571618014278 -31.140269463832958, 28.92555260591954 -32.1720411109725, 28.2197558936771 -32.771952813448856, 27.464608188595975 -33.2269637997788, 26.419452345492825 -33.61495045342619, 25.90966434093349 -33.6670402971764, 25.780628289500697 -33.94464609144834, 25.172861769315972 -33.796851495093584, 24.677853224392123 -33.98717579522455, 23.594043409934642 -33.794474379208154, 22.988188917744736 -33.91643075941698, 22.574157342222236 -33.86408253350531, 21.542799106541025 -34.258838799782936, 20.689052768647002 -34.417175388325234, 20.071261020597632 -34.79513681410799, 19.61640506356457 -34.81916635512371, 19.193278435958717 -34.46259897230979, 18.85531456876987 -34.444305515278465, 18.42464318204938 -33.99787281670897, 18.377410922934615 -34.13652068454807, 18.24449913907992 -33.86775156019803, 18.250080193767445 -33.28143075941444, 17.92519046394844 -32.61129078545343, 18.247909783611192 -32.42913136162457, 18.22176150887148 -31.66163298922567, 17.56691775886887 -30.725721123987547, 17.064416131262703 -29.878641045859162, 17.062917514726223 -29.875953871379984, 16.344976840895242 -28.5767050106977))"
278,274,Sri Lanka,117,4.415,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978,2016,"POLYGON ((81.7879590188914 7.523055324733164, 81.63732221876059 6.481775214051922, 81.21801964714433 6.197141424988288, 80.34835696810441 5.968369859232155, 79.87246870312853 6.76346344647493, 79.69516686393513 8.200843410673386, 80.14780073437964 9.824077663609557, 80.83881798698656 9.268426825391188, 81.30431928907177 8.56420624433369, 81.7879590188914 7.523055324733164))"
